From	To	Species	Gene Name
ENSSSCG00000011894	100155597	Sus scrofa	popeye domain containing 2(POPDC2)
ENSSSCG00000011899	397161	Sus scrofa	CD80 molecule(CD80)
ENSSSCG00000003329	100524443	Sus scrofa	ArfGAP with coiled-coil, ankyrin repeat and PH domains 3(ACAP3)
ENSSSCG00000009077	100517839	Sus scrofa	heat shock protein family A (Hsp70) member 4 like(HSPA4L)
ENSSSCG00000019154	100526376	Sus scrofa	microRNA 155(MIR155)
ENSSSCG00000012517	100525848	Sus scrofa	thymosin beta 15B(TMSB15B)
ENSSSCG00000003599	100520618	Sus scrofa	ornithine decarboxylase-like(LOC100520618)
ENSSSCG00000016461	100524720	Sus scrofa	zyxin(ZYX)
ENSSSCG00000012967	100525205	Sus scrofa	FOS like 1, AP-1 transcription factor subunit(FOSL1)
ENSSSCG00000025206	100621544	Sus scrofa	ring finger protein 19B(RNF19B)
ENSSSCG00000014119	100624743	Sus scrofa	serine incorporator 5(SERINC5)
ENSSSCG00000011825	100522900	Sus scrofa	ATPase 13A3(ATP13A3)
ENSSSCG00000016262	100516764	Sus scrofa	SP140 nuclear body protein(SP140)
ENSSSCG00000006923	100153137	Sus scrofa	guanylate binding protein 2, interferon-inducible(GBP2)
ENSSSCG00000016459	100519989	Sus scrofa	EPH receptor A1(EPHA1)
ENSSSCG00000023489	100135681	Sus scrofa	C-X-C motif chemokine ligand 9(CXCL9)
ENSSSCG00000006924	100151938	Sus scrofa	guanylate binding protein 1, interferon-inducible(GBP1)
ENSSSCG00000030460	100622228	Sus scrofa	Rac/Cdc42 guanine nucleotide exchange factor 6(ARHGEF6)
ENSSSCG00000007564	100337670	Sus scrofa	archaelysin family metallopeptidase 1(AMZ1)
ENSSSCG00000024743	100626612	Sus scrofa	proline rich 15 like(PRR15L)
ENSSSCG00000025881	100516042	Sus scrofa	pyruvate dehydrogenase (lipoamide) beta(PDHB)
ENSSSCG00000029347	100521431	Sus scrofa	zinc finger protein 791-like(LOC100521431)
ENSSSCG00000030467	100626327	Sus scrofa	polyhomeotic homolog 3(PHC3)
ENSSSCG00000026741	100157124	Sus scrofa	tubulin folding cofactor C(TBCC)
ENSSSCG00000006697	100156584	Sus scrofa	acid phosphatase 6, lysophosphatidic(ACP6)
ENSSSCG00000010570	100037948	Sus scrofa	potassium voltage-gated channel interacting protein 2(KCNIP2)
ENSSSCG00000006919	100155195	Sus scrofa	guanylate-binding protein 7(LOC100155195)
ENSSSCG00000013079	100520824	Sus scrofa	diacylglycerol lipase alpha(DAGLA)
ENSSSCG00000026153	100626793	Sus scrofa	acetyl-CoA acetyltransferase 1(ACAT1)
ENSSSCG00000016465	100521303	Sus scrofa	transmembrane protein 139(TMEM139)
ENSSSCG00000016270	100736598	Sus scrofa	chromosome 15 open reading frame, human C2orf72(C15H2orf72)
ENSSSCG00000029189	100623166	Sus scrofa	dachsous cadherin-related 1(DCHS1)
ENSSSCG00000016237	100512141	Sus scrofa	dedicator of cytokinesis 10(DOCK10)
ENSSSCG00000029180	100622993	Sus scrofa	potassium channel tetramerization domain containing 7(KCTD7)
ENSSSCG00000024759	100621027	Sus scrofa	C-X3-C motif chemokine ligand 1(CX3CL1)
ENSSSCG00000012569	100156732	Sus scrofa	autophagy related 4A cysteine peptidase(ATG4A)
ENSSSCG00000012568	100156308	Sus scrofa	proteasome 26S subunit, non-ATPase 10(PSMD10)
ENSSSCG00000015953	100522648	Sus scrofa	distal-less homeobox 1(DLX1)
ENSSSCG00000015954	100523029	Sus scrofa	distal-less homeobox 2(DLX2)
ENSSSCG00000006286	397508	Sus scrofa	selectin E(SELE)
ENSSSCG00000016243	100512869	Sus scrofa	rhomboid-related protein 4(LOC100512869)
ENSSSCG00000016438	100517250	Sus scrofa	negative regulator of ubiquitin like proteins 1(NUB1)
ENSSSCG00000006287	100127147	Sus scrofa	selectin L(SELL)
ENSSSCG00000006940	100153791	Sus scrofa	cysteine rich angiogenic inducer 61(CYR61)
ENSSSCG00000006011	100155672	Sus scrofa	solute carrier family 30 member 8(SLC30A8)
ENSSSCG00000016453	100519808	Sus scrofa	TRPM8 channel-associated factor 1(LOC100519808)
ENSSSCG00000016451	100519177	Sus scrofa	GTPase, IMAP family member 1(GIMAP1)
ENSSSCG00000029174	100621460	Sus scrofa	coiled-coil domain containing 126(CCDC126)
ENSSSCG00000026996	100627251	Sus scrofa	multidrug resistance-associated protein 4-like(LOC100627251)
ENSSSCG00000026724	397193	Sus scrofa	guanylate cyclase 2C (heat stable enterotoxin receptor)(GUCY2C)
ENSSSCG00000006681	733688	Sus scrofa	thioredoxin interacting protein(TXNIP)
ENSSSCG00000012558	100516946	Sus scrofa	PIH1 domain containing 3(PIH1D3)
ENSSSCG00000022630	100627929	Sus scrofa	FLYWCH family member 2(FLYWCH2)
ENSSSCG00000011853	100153714	Sus scrofa	RUN and cysteine rich domain containing beclin 1 interacting protein(RUBCN)
ENSSSCG00000006936	100513149	Sus scrofa	outer dense fiber of sperm tails 2 like(ODF2L)
ENSSSCG00000008874	100516327	Sus scrofa	transmembrane protein 144(TMEM144)
ENSSSCG00000012173	397645	Sus scrofa	spermidine/spermine N1-acetyltransferase 1(SAT1)
ENSSSCG00000008873	100515440	Sus scrofa	family with sequence similarity 198 member B(FAM198B)
ENSSSCG00000006932	100154624	Sus scrofa	calcium-activated chloride channel regulator 4(CLCA4)
ENSSSCG00000030877	100526196	Sus scrofa	FERM and PDZ domain-containing protein 4(LOC100526196)
ENSSSCG00000016254	553951	Sus scrofa	C-C motif chemokine ligand 20(CCL20)
ENSSSCG00000011020	100518508	Sus scrofa	KIAA1462 ortholog(KIAA1462)
ENSSSCG00000016448	100523293	Sus scrofa	potassium voltage-gated channel subfamily H member 2(KCNH2)
ENSSSCG00000003572	100511935	Sus scrofa	synaptotagmin like 1(SYTL1)
ENSSSCG00000026131	100739184	Sus scrofa	arylacetamide deacetylase(AADAC)
ENSSSCG00000011850	100157344	Sus scrofa	mucin 4, cell surface associated(MUC4)
ENSSSCG00000007395	102162899	Sus scrofa	SYS1, golgi trafficking protein(SYS1)
ENSSSCG00000010330	100152612	Sus scrofa	peptidylprolyl isomerase F(PPIF)
ENSSSCG00000023441	100625797	Sus scrofa	kelch domain containing 8A(KLHDC8A)
ENSSSCG00000015403	100525120	Sus scrofa	hepatocyte growth factor(HGF)
ENSSSCG00000011014	449001	Sus scrofa	BMP and activin membrane bound inhibitor(BAMBI)
ENSSSCG00000011010	100515791	Sus scrofa	chromosome 10 open reading frame, human C9orf72(C10H9orf72)
ENSSSCG00000008162	100626904	Sus scrofa	interleukin-1 receptor type 1(LOC100626904)
ENSSSCG00000004458	100158028	Sus scrofa	trophoblast glycoprotein(TPBG)
ENSSSCG00000000704	100520908	Sus scrofa	TAP binding protein like(TAPBPL)
ENSSSCG00000029852	100627056	Sus scrofa	Wnt family member 5A(WNT5A)
ENSSSCG00000028711	397319	Sus scrofa	caspase 1, apoptosis-related cysteine peptidase(CASP1)
ENSSSCG00000027243	100625699	Sus scrofa	NUAK family kinase 2(NUAK2)
ENSSSCG00000011004	100513812	Sus scrofa	TOP1 binding arginine/serine rich protein(TOPORS)
ENSSSCG00000011000	100512008	Sus scrofa	DnaJ heat shock protein family (Hsp40) member A1(DNAJA1)
ENSSSCG00000007788	100310801	Sus scrofa	phosphorylase kinase catalytic subunit gamma 2(PHKG2)
ENSSSCG00000000978	100519843	Sus scrofa	megalencephalic leukoencephalopathy with subcortical cysts 1(MLC1)
ENSSSCG00000026978	100156931	Sus scrofa	ROS proto-oncogene 1, receptor tyrosine kinase(ROS1)
ENSSSCG00000020719	102161161	Sus scrofa	interleukin-1 receptor-associated kinase-like 2(LOC102161161)
ENSSSCG00000004470	100512571	Sus scrofa	high mobility group nucleosomal binding domain 3(HMGN3)
ENSSSCG00000026979	100621551	Sus scrofa	extended synaptotagmin-3(LOC100621551)
ENSSSCG00000028725	100623827	Sus scrofa	transmembrane protein 102(LOC100623827)
ENSSSCG00000028069	733701	Sus scrofa	ATPase plasma membrane Ca2+ transporting 4(ATP2B4)
ENSSSCG00000029304	100620912	Sus scrofa	STEAP3 metalloreductase(STEAP3)
ENSSSCG00000028063	100152804	Sus scrofa	transforming acidic coiled-coil containing protein 2(TACC2)
ENSSSCG00000010146	100156193	Sus scrofa	galectin 8(LGALS8)
ENSSSCG00000017525	106505015	Sus scrofa	nuclear factor, erythroid 2 like 1(NFE2L1)
ENSSSCG00000000181	100737739	Sus scrofa	Rho family GTPase 1(RND1)
ENSSSCG00000023467	100510917	Sus scrofa	glutathione S-transferase A4(LOC100510917)
ENSSSCG00000008144	100192439	Sus scrofa	NCK adaptor protein 2(NCK2)
ENSSSCG00000009002	396623	Sus scrofa	toll like receptor 2(TLR2)
ENSSSCG00000000728	100524437	Sus scrofa	poly(ADP-ribose) polymerase family member 11(PARP11)
ENSSSCG00000004475	397563	Sus scrofa	5-hydroxytryptamine receptor 1B(HTR1B)
ENSSSCG00000009950	100736714	Sus scrofa	piwi like RNA-mediated gene silencing 3(PIWIL3)
ENSSSCG00000016686	100513831	Sus scrofa	proline rich 15(PRR15)
ENSSSCG00000008898	396692	Sus scrofa	HOP homeobox(HOPX)
ENSSSCG00000004485	100155478	Sus scrofa	CD109 molecule(CD109)
ENSSSCG00000015798	100153642	Sus scrofa	ankyrin repeat domain 37(ANKRD37)
ENSSSCG00000002002	780415	Sus scrofa	interferon regulatory factor 9(IRF9)
ENSSSCG00000011414	100518866	Sus scrofa	cytokine inducible SH2 containing protein(CISH)
ENSSSCG00000002004	397522	Sus scrofa	proteasome activator subunit 2(PSME2)
ENSSSCG00000027494	100620123	Sus scrofa	protocadherin 10(PCDH10)
ENSSSCG00000003718	100037274	Sus scrofa	TATA-box binding protein associated factor 4b(TAF4B)
ENSSSCG00000008155	396786	Sus scrofa	solute carrier family 9 member A4(SLC9A4)
ENSSSCG00000011600	106504129	Sus scrofa	solute carrier family 6 member 6(SLC6A6)
ENSSSCG00000017538	100522513	Sus scrofa	homeobox B7(HOXB7)
ENSSSCG00000007387	396757	Sus scrofa	trappin 8(LOC396757)
ENSSSCG00000007578	100512096	Sus scrofa	monocyte to macrophage differentiation associated 2(MMD2)
ENSSSCG00000023472	100523562	Sus scrofa	flavin containing monooxygenase 3(FMO3)
ENSSSCG00000011810	100156549	Sus scrofa	B-cell CLL/lymphoma 6(BCL6)
ENSSSCG00000001835	100153434	Sus scrofa	abhydrolase domain containing 2(ABHD2)
ENSSSCG00000003983	100145888	Sus scrofa	small ArfGAP2(SMAP2)
ENSSSCG00000016684	100513510	Sus scrofa	secernin 1(SCRN1)
ENSSSCG00000011400	100153200	Sus scrofa	semaphorin 3B(SEMA3B)
ENSSSCG00000026571	100153972	Sus scrofa	RAB8B, member RAS oncogene family(RAB8B)
ENSSSCG00000015673	100520985	Sus scrofa	kynureninase(KYNU)
ENSSSCG00000011404	404698	Sus scrofa	hyaluronoglucosaminidase 1(HYAL1)
ENSSSCG00000015789	100157280	Sus scrofa	sorting nexin-25(LOC100157280)
ENSSSCG00000015783	397244	Sus scrofa	caspase 3(CASP3)
ENSSSCG00000026955	100155321	Sus scrofa	alkaline ceramidase 2(ACER2)
ENSSSCG00000011407	100516830	Sus scrofa	Ras association domain family member 1(RASSF1)
ENSSSCG00000000186	100525816	Sus scrofa	Ras homolog enriched in brain like 1(RHEBL1)
ENSSSCG00000029813	100622240	Sus scrofa	tetraspanin 5(TSPAN5)
ENSSSCG00000030655	100514623	Sus scrofa	MAM domain containing 2(MAMDC2)
ENSSSCG00000000370	397097	Sus scrofa	diacylglycerol kinase alpha(DGKA)
ENSSSCG00000007079	100158214	Sus scrofa	fibronectin leucine rich transmembrane protein 3(FLRT3)
ENSSSCG00000012394	100519581	Sus scrofa	gap junction protein beta 1(GJB1)
ENSSSCG00000023400	100523896	Sus scrofa	zinc finger protein 598(ZNF598)
ENSSSCG00000007073	100154170	Sus scrofa	isthmin 1(ISM1)
ENSSSCG00000015782	100621620	Sus scrofa	interferon regulatory factor 2(IRF2)
ENSSSCG00000028033	106504055	Sus scrofa	SECIS binding protein 2(SECISBP2)
ENSSSCG00000000155	396775	Sus scrofa	TIMP metallopeptidase inhibitor 3(TIMP3)
ENSSSCG00000026943	100515980	Sus scrofa	melanocortin 2 receptor accessory protein 2(MRAP2)
ENSSSCG00000026940	100154896	Sus scrofa	caspase 10(CASP10)
ENSSSCG00000011251	396646	Sus scrofa	myeloid differentiation primary response 88(MYD88)
ENSSSCG00000009921	595119	Sus scrofa	2'-5'-oligoadenylate synthetase like(OASL)
ENSSSCG00000000554	100157490	Sus scrofa	FGFR1 oncogene partner 2(FGFR1OP2)
ENSSSCG00000003112	100517403	Sus scrofa	BCL2 binding component 3(BBC3)
ENSSSCG00000010383	100157904	Sus scrofa	WDFY family member 4(WDFY4)
ENSSSCG00000009051	397683	Sus scrofa	interleukin 15(IL15)
ENSSSCG00000000559	100151839	Sus scrofa	Ras association domain family member 8(RASSF8)
ENSSSCG00000011628	100152107	Sus scrofa	DnaJ heat shock protein family (Hsp40) member C13(DNAJC13)
ENSSSCG00000003928	397250	Sus scrofa	polo like kinase 3(PLK3)
ENSSSCG00000025417	100622382	Sus scrofa	Bardet-Biedl syndrome 2(BBS2)
ENSSSCG00000021324	100737034	Sus scrofa	max-interacting protein 1-like(LOC100737034)
ENSSSCG00000009250	100512796	Sus scrofa	protein kinase, cGMP-dependent, type II(PRKG2)
ENSSSCG00000026931	100624989	Sus scrofa	SERTA domain containing 1(SERTAD1)
ENSSSCG00000011246	100628102	Sus scrofa	villin like(VILL)
ENSSSCG00000023693	396954	Sus scrofa	protein C, inactivator of coagulation factors Va and VIIIa(PROC)
ENSSSCG00000012376	100516309	Sus scrofa	glycerophosphodiester phosphodiesterase domain containing 2(GDPD2)
ENSSSCG00000015654	100522695	Sus scrofa	interleukin 20(IL20)
ENSSSCG00000003726	100515669	Sus scrofa	desmocollin 1(DSC1)
ENSSSCG00000015653	100038024	Sus scrofa	interleukin 19(IL19)
ENSSSCG00000001619	100153907	Sus scrofa	forkhead box P4(FOXP4)
ENSSSCG00000000931	414851	Sus scrofa	MGAT4 family member C(MGAT4C)
ENSSSCG00000004222	100157226	Sus scrofa	nuclear receptor coactivator 7(NCOA7)
ENSSSCG00000000769	594852	Sus scrofa	BH3 interacting domain death agonist(BID)
ENSSSCG00000000544	396951	Sus scrofa	parathyroid hormone like hormone(PTHLH)
ENSSSCG00000006498	100152692	Sus scrofa	RAB25, member RAS oncogene family(RAB25)
ENSSSCG00000004241	100518636	Sus scrofa	gap junction protein alpha 1(GJA1)
ENSSSCG00000003951	100519374	Sus scrofa	chromosome 6 open reading frame, human C1orf210(C6H1orf210)
ENSSSCG00000009042	100524693	Sus scrofa	OTU deubiquitinase 4(OTUD4)
ENSSSCG00000020740	100626137	Sus scrofa	desmoglein 4(DSG4)
ENSSSCG00000028740	100517189	Sus scrofa	CTD small phosphatase like(CTDSPL)
ENSSSCG00000008388	100525104	Sus scrofa	REL proto-oncogene, NF-kB subunit(REL)
ENSSSCG00000007327	106506672	Sus scrofa	deoxynucleoside triphosphate triphosphohydrolase SAMHD1-like(LOC106506672)
ENSSSCG00000009240	100525175	Sus scrofa	placenta-specific gene 8 protein(LOC100525175)
ENSSSCG00000011239	100513756	Sus scrofa	TPR and ankyrin repeat-containing protein 1-like(LOC100513756)
ENSSSCG00000010118	100152722	Sus scrofa	protein HIRA(LOC100152722)
ENSSSCG00000009245	100135661	Sus scrofa	stearoyl-CoA desaturase 5(SCD5)
ENSSSCG00000008190	100233232	Sus scrofa	inositol polyphosphate-4-phosphatase type I A(INPP4A)
ENSSSCG00000007067	100156773	Sus scrofa	jagged 1(JAG1)
ENSSSCG00000023436	100512181	Sus scrofa	potassium channel tetramerization domain containing 14(KCTD14)
ENSSSCG00000030408	396723	Sus scrofa	DExD/H-box helicase 58(DDX58)
ENSSSCG00000026527	100510937	Sus scrofa	hyperpolarization activated cyclic nucleotide gated potassium channel 1(HCN1)
ENSSSCG00000025663	100620150	Sus scrofa	transmembrane and TPR repeat-containing protein 2(LOC100620150)
ENSSSCG00000015435	595123	Sus scrofa	nicotinamide phosphoribosyltransferase(NAMPT)
ENSSSCG00000017578	100517053	Sus scrofa	integrin alpha-3(LOC100517053)
ENSSSCG00000009031	397457	Sus scrofa	endothelin receptor type A(EDNRA)
ENSSSCG00000025667	100511640	Sus scrofa	F-box protein 2(FBXO2)
ENSSSCG00000006209	100524801	Sus scrofa	deubiquitinating protein VCIP135(LOC100524801)
ENSSSCG00000010831	100517416	Sus scrofa	dual specificity phosphatase 10(DUSP10)
ENSSSCG00000003744	100621611	Sus scrofa	molybdenum cofactor sulfurase(LOC100621611)
ENSSSCG00000027660	100511267	Sus scrofa	interferon induced protein 44 like(IFI44L)
ENSSSCG00000005288	100156044	Sus scrofa	transducin like enhancer of split 4(TLE4)
ENSSSCG00000011369	100739175	Sus scrofa	WD repeat domain 6(WDR6)
ENSSSCG00000016873	100524404	Sus scrofa	NIM1 serine/threonine protein kinase(NIM1K)
ENSSSCG00000021460	100620950	Sus scrofa	nyctalopin(NYX)
ENSSSCG00000016872	100524223	Sus scrofa	3-hydroxy-3-methylglutaryl-CoA synthase 1(HMGCS1)
ENSSSCG00000003140	100302504	Sus scrofa	fibroblast growth factor 21(FGF21)
ENSSSCG00000016877	100526144	Sus scrofa	nicotinamide nucleotide transhydrogenase(NNT)
ENSSSCG00000021504	100310806	Sus scrofa	interferon-alphaomega(IFN-ALPHAOMEGA)
ENSSSCG00000021464	100628166	Sus scrofa	sterol O-acyltransferase 1(SOAT1)
ENSSSCG00000003137	100522871	Sus scrofa	pleckstrin homology domain containing A4(PLEKHA4)
ENSSSCG00000027894	100627656	Sus scrofa	family with sequence similarity 76 member A(FAM76A)
ENSSSCG00000016882	100511108	Sus scrofa	poly(ADP-ribose) polymerase family member 8(PARP8)
ENSSSCG00000007145	100738366	Sus scrofa	ADAM metallopeptidase domain 33(ADAM33)
ENSSSCG00000029666	100359352	Sus scrofa	homeobox A13(HOXA13)
ENSSSCG00000005087	100156847	Sus scrofa	SIX homeobox 1(SIX1)
ENSSSCG00000009720	100158037	Sus scrofa	probable ATP-dependent RNA helicase DDX60(LOC100158037)
ENSSSCG00000014976	100519555	Sus scrofa	Rho GTPase activating protein 42(ARHGAP42)
ENSSSCG00000015235	100302363	Sus scrofa	ETS proto-oncogene 1, transcription factor(ETS1)
ENSSSCG00000017721	100302703	Sus scrofa	chemokine (C-C motif) ligand 8(CCL8)
ENSSSCG00000028536	100523234	Sus scrofa	lipoma HMGIC fusion partner-like 2(LHFPL2)
ENSSSCG00000022312	100620673	Sus scrofa	rhophilin Rho GTPase binding protein 2(RHPN2)
ENSSSCG00000017723	397422	Sus scrofa	chemokine (C-C motif) ligand 2(CCL2)
ENSSSCG00000016884	100511788	Sus scrofa	pelota homolog (Drosophila)(PELO)
ENSSSCG00000001509	100524813	Sus scrofa	death domain associated protein(DAXX)
ENSSSCG00000001507	100155428	Sus scrofa	TAP binding protein(TAPBP)
ENSSSCG00000004808	100156280	Sus scrofa	gremlin 1, DAN family BMP antagonist(GREM1)
ENSSSCG00000014780	100302538	Sus scrofa	tripartite motif containing 21(TRIM21)
ENSSSCG00000009324	503545	Sus scrofa	solute carrier family 7 (cationic amino acid transporter, y+ system), member 1(SLC7A1)
ENSSSCG00000001398	100135037	Sus scrofa	MHC class I antigen 6(SLA-6)
ENSSSCG00000009709	100519447	Sus scrofa	microfibrillar associated protein 3 like(MFAP3L)
ENSSSCG00000011576	100523996	Sus scrofa	histamine receptor H1(HRH1)
ENSSSCG00000014988	397346	Sus scrofa	matrix metallopeptidase 13(MMP13)
ENSSSCG00000011570	106505672	Sus scrofa	interleukin-1 receptor-associated kinase-like 2(LOC106505672)
ENSSSCG00000020906	406191	Sus scrofa	tumor necrosis factor (ligand) superfamily, member 10(TNFSF10)
ENSSSCG00000022111	100152215	Sus scrofa	cyclin dependent kinase inhibitor 1A(CDKN1A)
ENSSSCG00000014985	397320	Sus scrofa	matrix metallopeptidase 1(MMP1)
ENSSSCG00000014986	396769	Sus scrofa	matrix metallopeptidase 3 (stromelysin 1, progelatinase)(MMP3)
ENSSSCG00000014987	100101475	Sus scrofa	matrix metallopeptidase 12(MMP12)
ENSSSCG00000021903	100626247	Sus scrofa	interferon-induced transmembrane protein 1-like(LOC100626247)
ENSSSCG00000021902	100525792	Sus scrofa	gamma-aminobutyric acid type A receptor pi subunit(GABRP)
ENSSSCG00000017759	100512013	Sus scrofa	aldolase, fructose-bisphosphate C(ALDOC)
ENSSSCG00000017754	396972	Sus scrofa	galectin 9(LGALS9)
ENSSSCG00000017755	396859	Sus scrofa	nitric oxide synthase 2(NOS2)
ENSSSCG00000001539	397297	Sus scrofa	peroxisome proliferator activated receptor delta(PPARD)
ENSSSCG00000008491	397424	Sus scrofa	glutaminyl-peptide cyclotransferase(QPCT)
ENSSSCG00000017218	100511219	Sus scrofa	cerebellar degeneration related protein 2 like(CDR2L)
ENSSSCG00000003155	100522679	Sus scrofa	protein phosphatase 1 regulatory subunit 15A(PPP1R15A)
ENSSSCG00000000656	100520839	Sus scrofa	C-type lectin domain family 2, member B(CLEC2B)
ENSSSCG00000000657	100521013	Sus scrofa	C-type lectin domain family 2 member D(CLEC2D)
ENSSSCG00000001912	100157336	Sus scrofa	protein PML(LOC100157336)
ENSSSCG00000000653	397165	Sus scrofa	CD69 molecule(CD69)
ENSSSCG00000014997	100522887	Sus scrofa	caspase-13(LOC100522887)
ENSSSCG00000001913	100156113	Sus scrofa	stomatin like 1(STOML1)
ENSSSCG00000005992	397120	Sus scrofa	hyaluronan synthase 2(SHAS2)
ENSSSCG00000007707	100524550	Sus scrofa	VPS37D, ESCRT-I subunit(VPS37D)
ENSSSCG00000005998	100157658	Sus scrofa	DEP domain containing MTOR-interacting protein(DEPTOR)
ENSSSCG00000011357	106504053	Sus scrofa	shisa family member 5(SHISA5)
ENSSSCG00000020927	397429	Sus scrofa	solute carrier family 2 member 2(SLC2A2)
ENSSSCG00000000668	100512412	Sus scrofa	apolipoprotein B mRNA editing enzyme catalytic subunit 1(APOBEC1)
ENSSSCG00000016620	100512202	Sus scrofa	tetraspanin 12(TSPAN12)
ENSSSCG00000000662	100154117	Sus scrofa	mannose-6-phosphate receptor, cation dependent(M6PR)
ENSSSCG00000000661	100155344	Sus scrofa	polyhomeotic homolog 1(PHC1)
ENSSSCG00000001009	100524751	Sus scrofa	receptor interacting serine/threonine kinase 1(RIPK1)
ENSSSCG00000027860	100737092	Sus scrofa	endoplasmic reticulum aminopeptidase 2-like(LOC100737092)
ENSSSCG00000015073	397021	Sus scrofa	transgelin(TAGLN)
ENSSSCG00000001040	100270682	Sus scrofa	chromosome 7 open reading frame, human C6orf52(C7H6orf52)
ENSSSCG00000016832	100271930	Sus scrofa	interleukin 7 receptor(IL7R)
ENSSSCG00000001556	100156630	Sus scrofa	mitogen-activated protein kinase 14(MAPK14)
ENSSSCG00000015282	100512360	Sus scrofa	protein phosphatase 1 regulatory subunit 15B(PPP1R15B)
ENSSSCG00000015281	100512182	Sus scrofa	pleckstrin homology domain containing A6(PLEKHA6)
ENSSSCG00000015476	396865	Sus scrofa	chitinase 3 like 1(CHI3L1)
ENSSSCG00000013418	396877	Sus scrofa	complement factor D(CFD)
ENSSSCG00000010200	100157878	Sus scrofa	chondroitin sulfate N-acetylgalactosaminyltransferase 2(CSGALNACT2)
ENSSSCG00000022370	100736831	Sus scrofa	tumor necrosis factor superfamily member 9(TNFSF9)
ENSSSCG00000027855	100307052	Sus scrofa	suppressor of cytokine signaling 1(SOCS1)
ENSSSCG00000029430	100624339	Sus scrofa	importin 13(IPO13)
ENSSSCG00000001755	100155220	Sus scrofa	hydroxylysine kinase(HYKK)
ENSSSCG00000021223	100511532	Sus scrofa	CKLF like MARVEL transmembrane domain containing 6(CMTM6)
ENSSSCG00000016635	100125375	Sus scrofa	caveolin 2(CAV2)
ENSSSCG00000015068	397681	Sus scrofa	apolipoprotein A4(APOA4)
ENSSSCG00000017003	595102	Sus scrofa	potassium voltage-gated channel interacting protein 1(KCNIP1)
ENSSSCG00000028384	397559	Sus scrofa	Rho family GTPase 3(RND3)
ENSSSCG00000029438	100620966	Sus scrofa	sestrin 2(SESN2)
ENSSSCG00000023503	100622955	Sus scrofa	protein kinase C delta(PRKCD)
ENSSSCG00000005979	100155380	Sus scrofa	annexin A13(ANXA13)
ENSSSCG00000015085	100525654	Sus scrofa	interleukin 10 receptor subunit alpha(IL10RA)
ENSSSCG00000015273	100623420	Sus scrofa	plasma membrane calcium-transporting ATPase 4-like(LOC100623420)
ENSSSCG00000015276	100622861	Sus scrofa	ethanolamine kinase 2(ETNK2)
ENSSSCG00000010605	100157838	Sus scrofa	STN1, CST complex subunit(STN1)
ENSSSCG00000028585	100623482	Sus scrofa	Cbl proto-oncogene like 1(CBLL1)
ENSSSCG00000005981	733657	Sus scrofa	F-box protein 32(FBXO32)
ENSSSCG00000002051	100154266	Sus scrofa	abhydrolase domain containing 4(ABHD4)
ENSSSCG00000024219	100154112	Sus scrofa	TP53 induced glycolysis regulatory phosphatase(TIGAR)
ENSSSCG00000004439	100520347	Sus scrofa	TSPY like 4(TSPYL4)
ENSSSCG00000016646	493185	Sus scrofa	interferon related developmental regulator 1(IFRD1)
ENSSSCG00000014564	100127358	Sus scrofa	interferon-induced transmembrane protein 1(IFITM1)
ENSSSCG00000014565	100519082	Sus scrofa	interferon-induced transmembrane protein 1-like(LOC100519082)
ENSSSCG00000001064	100154573	Sus scrofa	guanosine monophosphate reductase(GMPR)
ENSSSCG00000016855	100520112	Sus scrofa	FYN binding protein(FYB)
ENSSSCG00000016853	100519575	Sus scrofa	RPTOR independent companion of MTOR complex 2(RICTOR)
ENSSSCG00000002412	100157426	Sus scrofa	stonin 2(STON2)
ENSSSCG00000027882	100516689	Sus scrofa	chromosome 10 open reading frame, human C1orf115(C10H1orf115)
ENSSSCG00000016851	100519398	Sus scrofa	oncostatin M receptor(OSMR)
ENSSSCG00000022387	100517563	Sus scrofa	TATA-box binding protein like 1(TBPL1)
ENSSSCG00000001572	100524814	Sus scrofa	FYVE, RhoGEF and PH domain containing 2(FGD2)
ENSSSCG00000000890	100514234	Sus scrofa	neural precursor cell expressed, developmentally down-regulated 1(NEDD1)
ENSSSCG00000005944	100156071	Sus scrofa	N-myc downstream regulated 1(NDRG1)
ENSSSCG00000022101	100049662	Sus scrofa	BRCA1, DNA repair associated(BRCA1)
ENSSSCG00000015299	100310802	Sus scrofa	STEAP4 metalloreductase(STEAP4)
ENSSSCG00000027873	100625104	Sus scrofa	GIPC PDZ domain containing family member 2(GIPC2)
ENSSSCG00000014956	100516989	Sus scrofa	ankyrin repeat domain 49(ANKRD49)
ENSSSCG00000004421	791125	Sus scrofa	FYN proto-oncogene, Src family tyrosine kinase(FYN)
ENSSSCG00000027877	594850	Sus scrofa	toll like receptor 10(TLR10)
ENSSSCG00000029649	100622760	Sus scrofa	intraflagellar transport 46(IFT46)
ENSSSCG00000001952	406188	Sus scrofa	NFKB inhibitor alpha(NFKBIA)
ENSSSCG00000001951	100156790	Sus scrofa	proteasome subunit alpha 6(PSMA6)
ENSSSCG00000029456	102164821	Sus scrofa	high affinity cationic amino acid transporter 1-like(LOC102164821)
ENSSSCG00000004825	100520288	Sus scrofa	chondroitin sulfate synthase 1(CHSY1)
ENSSSCG00000003192	100522257	Sus scrofa	interleukin 4 induced 1(IL4I1)
ENSSSCG00000001050	396915	Sus scrofa	endothelin 1(EDN1)
ENSSSCG00000016868	102162264	Sus scrofa	annexin A2 receptor(ANXA2R)
ENSSSCG00000004826	100151836	Sus scrofa	selenoprotein S(SELENOS)
